Entity,Code,Year,Prevalence
Argentina,ARG,1990,0.965968903123
Argentina,ARG,1991,0.980431573329
Argentina,ARG,1992,1.0009859538
Argentina,ARG,1993,1.01331575154
Argentina,ARG,1994,1.02506923759
Argentina,ARG,1995,1.03612805202
Argentina,ARG,1996,1.05496979707
Argentina,ARG,1997,1.06422044352
Argentina,ARG,1998,1.0748142107
Argentina,ARG,1999,1.09006081907
Argentina,ARG,2000,1.08670364928
Argentina,ARG,2001,1.09258574829
Argentina,ARG,2002,1.09796383105
Argentina,ARG,2003,1.10475990888
Argentina,ARG,2004,1.09914924233
Argentina,ARG,2005,1.09966030547
Argentina,ARG,2006,1.10820343192
Argentina,ARG,2007,1.11998588248
Argentina,ARG,2008,1.11668164279
Argentina,ARG,2009,1.12896219034
Argentina,ARG,2010,1.12878647649
Argentina,ARG,2011,1.13520556837
Argentina,ARG,2012,1.14404437475
Argentina,ARG,2013,1.15190326075
Argentina,ARG,2014,1.15044489809
Argentina,ARG,2015,1.15858296574
Argentina,ARG,2016,1.16890221001
Argentina,ARG,2017,1.17686883139
Bangladesh,BGD,1990,0.256482209
Bangladesh,BGD,1991,0.239093082
Bangladesh,BGD,1992,0.238726771
Bangladesh,BGD,1993,0.233570178
Bangladesh,BGD,1994,0.228957631
Bangladesh,BGD,1995,0.22914776
Bangladesh,BGD,1996,0.223186356
Bangladesh,BGD,1997,0.220541247
Bangladesh,BGD,1998,0.217126452
Bangladesh,BGD,1999,0.214809459
Bangladesh,BGD,2000,0.215270331
Bangladesh,BGD,2001,0.217207478
Bangladesh,BGD,2002,0.219472444
Bangladesh,BGD,2003,0.222937369
Bangladesh,BGD,2004,0.223694667
Bangladesh,BGD,2005,0.226307162
Bangladesh,BGD,2006,0.229504474
Bangladesh,BGD,2007,0.233456202
Bangladesh,BGD,2008,0.234877811
Bangladesh,BGD,2009,0.233334578
Bangladesh,BGD,2010,0.233106625
Bangladesh,BGD,2011,0.232282185
Bangladesh,BGD,2012,0.232597326
Bangladesh,BGD,2013,0.234541695
Bangladesh,BGD,2014,0.23870001
Bangladesh,BGD,2015,0.243443092
Bangladesh,BGD,2016,0.247974979
Bangladesh,BGD,2017,0.254187684
Canada,CAN,1990,4.158260125
Canada,CAN,1991,4.184591782
Canada,CAN,1992,4.214574608
Canada,CAN,1993,4.248943374
Canada,CAN,1994,4.280265321
Canada,CAN,1995,4.307254307
Canada,CAN,1996,4.341227166
Canada,CAN,1997,4.373904987
Canada,CAN,1998,4.416241348
Canada,CAN,1999,4.451176533
Canada,CAN,2000,4.4695759
Canada,CAN,2001,4.483902675
Canada,CAN,2002,4.507092801
Canada,CAN,2003,4.531176151
Canada,CAN,2004,4.551041455
Canada,CAN,2005,4.560127428
Canada,CAN,2006,4.551847556
Canada,CAN,2007,4.551516074
Canada,CAN,2008,4.553375678
Canada,CAN,2009,4.552407926
Canada,CAN,2010,4.551128582
Canada,CAN,2011,4.544922311
Canada,CAN,2012,4.565226765
Canada,CAN,2013,4.569286572
Canada,CAN,2014,4.603847233
Canada,CAN,2015,4.629901502
Canada,CAN,2016,4.629454818
Canada,CAN,2017,4.629727772
France,FRA,1990,1.603992103
France,FRA,1991,1.643442243
France,FRA,1992,1.685561364
France,FRA,1993,1.731666367
France,FRA,1994,1.751892229
France,FRA,1995,1.767319244
France,FRA,1996,1.805330803
